实体名称,中文名,公司名称,外文名,别名,地址,总部,总部地点,成员国,成立时间,正式成立,组织机构,现任总领事,上级机构,隶属,所属地区,类型,所有者,所属公司,所属联盟,首席主编,主要产品,语种,类别,主办单位,编辑单位,创刊时间,国外发行代号,官网,主要奖项,知名校友,创办时间,创办人,创始人,办学性质,主管部门,硕士点,博士点,现任校长,董事长,主要院系,类型,所属行业,法定代表人,经营范围,公司类型,公司口号,著名产品
美国大学,美利坚大学,,American University,,"4400 Massachusetts Avenue NW, Washington, DC 20016",,,,,,,,,,"Washington, D.C.",文理,,,,,,,,,,,,,,,1893年,,,私立大学,,,,Sylvia Mathews Burwell,,文理学院、商学院、传媒学院、国际服务学院,文理,,,,,,
耶鲁大学,耶鲁大学,,Yale University[1] ,,"New Haven, CT 06520",,,,,,,,,,,,,,,,,,,,,,,,62位诺贝尔奖、5位菲尔兹奖、3位图灵奖[23] 50枚奥运金牌、25枚银牌、29枚铜牌,"乔治·布什,比尔·克林顿,杰拉尔德·鲁道夫·福特,奥利弗·斯通、容闳[11] ",1701年10月9日,,,私立大学,,,,,,,,,,,,,
美国最高法院,美国联邦最高法院,,Supreme Court of the United States,,,,,,1790年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波士顿大学,波士顿大学,,Boston University,,"1 Silber Way Boston, MA 02215",,,,,,,,,,,,,,,,,,,,,,,,8位诺贝尔奖得主9位奥斯卡金像奖得主 、23位普利策奖得主10位罗德学者、6位马歇尔奖学金得主,马丁·路德·金、埃利·维瑟尔、骆家辉、张艺谋、熊晓鸽、朴载相,"1839年创建,1869年立案",,,私立大学,,,,,,,,,,,,,
邮政局,中华人民共和国国家邮政局,,People's Republic of China State Post Bureau,,北京市西城区北礼士路甲8号[1] ,,,,,,,,,,,,,,,,,,,,,,,http://www.spb.gov.cn/,,,,,,,,,,,,,,,,,,,
纽约邮报,,,,,,,,,,,,,,,,,,,,,,,,,,1801年,,,,,,,,,,,,,,,,,,,,,
美国佛罗里达大学,佛罗里达大学,,,,,,,,,,,,,,美国佛罗里达州,,,,,,,,公立大学,,,,,http://www.ufl.edu/,"诺贝尔奖,普利策奖,菲尔兹奖","Robert Grubbs,Marco Rubio,Marshall Nirenberg,Faye Dunaway",1853年,,,,,,,W. Kent Fuchs,,惠灵顿商学院,,,,,,,
辉瑞制药有限公司,,辉瑞制药有限公司,Pfizer,,,,美国纽约,,1849年,,,,,,,,,,,,,,,,,,,http://www.pfizer.com/,,,,,,,,,,,,,,,,药品研发,,,
微软公司,,微软公司,Microsoft Corporation,,,,美国华盛顿州雷德蒙德市,,1975年4月4日,,,,,,,,,,,,,,,,,,,,,,,,比尔·盖茨,,,,,,,,,软件及信息技术,,"操作系统,办公软件,手机,平板,游戏机",上市公司、外商独资,新效率(New Efficiency),
哥伦比亚广播公司,,哥伦比亚广播公司,,,,,美国纽约,,1927年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,传媒,,,
七国集团,七国集团,,Group of Seven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
八国集团,八国集团,,"G8,Group 8,Group of Eight",富国俱乐部、G8峰会,,,,,1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
欧盟委员会,欧盟委员会,,European Commission,,,布鲁塞尔,,,,,,,,,,,,,,,,,,,,,,www.consilium.europa.eu/,,,,,,,,,,,,,,,,,,,
微软,,微软公司,Microsoft Corporation,,,,美国华盛顿州雷德蒙德市,,1975年4月4日,,,,,,,,,,,,,,,,,,,,,,,,比尔·盖茨,,,,,,,,,软件及信息技术,,"操作系统,办公软件,手机,平板,游戏机",上市公司、外商独资,新效率(New Efficiency),
华为公司,,华为技术有限公司,"HUAWEI TECHNOLOGIES CO., LTD.",,,,中国深圳市龙岗区坂田华为总部办公楼[13] ,,1987年9月15日[13] ,,,,,,,,,,,,,,,,,,,,,,,,任正非,,,,,,梁华,,,软件和信息技术服务业,赵明路[13] ,"IT、无线电,微电子,通讯,路由,程控交换机等[9] ",民营企业,构建万物互联的智能世界,智能手机、终端路由器、交换机、电脑
HBO,,HBO,Home Box Office,,,,美国纽约州纽约,,1972年,,,,,,,,,,,,,英语、西班牙语,,,,,,http://www.hbo.com/,,,,,,,,,,,,,,,,电视节目,有线电视频道,It's HBO.,
英国石油公司,,英国石油公司,BP Amoco,,,,英国伦敦,,1909年,,,,,,,,,,,,,,,,,,,,,,,,威廉·诺克斯·达西,,,,,,,,,,,石油公司,上市公司,,
外交部例行记者会,外交部例行记者会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国华盛顿大学,华盛顿大学,,University of Washington,,"Seattle, WA 98195",,,,,,,,,,,,,,,,,,,,,,,,诺贝尔奖、图灵奖、菲尔茨奖、普利策奖、沃尔夫奖[13] ,20位诺贝尔奖得主、12位普利策奖得主,1861年,,,公立大学,,,,,,,,,,,,,
美国证券交易委员会,美国证券交易委员会,,SEC --the U.S. Securities and Exchange Commission,,,,,,1934年,,,,,,,,,,,,,,,,,,,http://www.sec.gov/,,,,,,,,,,,,,,,,,,,
美国白宫,白宫,,The White House,总统大厦、总统之宫,,,,,,,,,,,美国华盛顿哥伦比亚特区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白宫办公厅,白宫办公厅,,The White House Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世界贸易组织,世界贸易组织,,World Trade Organization,,,,,,1995年1月1日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
