39---呼喊: 0.0858, 横幅: 0.0804, 标语: 0.0701, 结束: 0.069, 窃取: 0.0652, 持枪: 0.064, 抗议者: 0.0581, 希望: 0.0562, 停止: 0.054, 聚集: 0.052, 游行: 0.0428, 示威者: 0.0363, 警察: 0.0358, 媒体: 0.0352, 华盛顿: 0.0342, 警方: 0.0315, 美国: 0.0133, 纽约: 0.0128, 冲突: 0.0091, 暴力: 0.0085
32---战略武器: 0.0743, 条约: 0.0713, 削减: 0.0632, 俄方: 0.0525, 核弹头: 0.0514, 俄罗斯: 0.0507, 退出: 0.0431, 数量: 0.0378, 俄美: 0.0352, 延长: 0.0301, 天空: 0.0295, 冻结: 0.0268, 两国: 0.0222, 开放: 0.0218, 发射: 0.0197, 核武器: 0.0181, 部署: 0.0177, 有助于: 0.0161, 华盛顿: 0.016, 透明度: 0.0149
22---药物: 0.0959, 治疗: 0.0898, 氯喹: 0.0736, 西韦: 0.0702, 患者: 0.0612, 服用: 0.0486, 吉利: 0.0451, 临床: 0.033, 肺炎: 0.0325, 病毒: 0.0285, 疗法: 0.028, 研究: 0.0277, 英国: 0.0261, 新冠: 0.0251, 血浆: 0.024, 时间: 0.0236, 数据: 0.023, 美国: 0.0208, 预防: 0.0203, 公司: 0.0181
56---新冠: 0.0441, 任何借口: 0.0256, 卫生工作者: 0.0247, 卫生系统: 0.0247, 探视: 0.0233, 流行性: 0.0232, 见面: 0.0225, 病情: 0.0224, 美洲: 0.0223, 题为: 0.0212, 防护: 0.0185, 放在: 0.018, 幕僚: 0.0179, 拉票: 0.0178, 阳性: 0.0177, 质问: 0.0174, 做法: 0.0163, 德塞: 0.0161, 面对: 0.0155, 家庭: 0.0154
26---经济: 0.0557, 脱离: 0.0361, 迫使: 0.0356, 财富: 0.0324, 父母: 0.032, 比例: 0.0294, 复苏: 0.0286, 利率: 0.0282, 联邦: 0.0251, 年轻人: 0.025, 经济学家: 0.0241, 中心: 0.0241, 疫情: 0.0227, 研究: 0.0208, 支出: 0.0196, 货币政策: 0.0184, 刺激: 0.0174, 水平: 0.0172, 财政: 0.0155, 数据: 0.015
25---股市: 0.1022, 指数: 0.0986, 下跌: 0.0936, 上涨: 0.0576, 跌幅: 0.0448, 市场: 0.0438, 收盘: 0.0375, 标普: 0.0344, 收于: 0.0334, 担忧: 0.0313, 股价: 0.028, 刺激: 0.0277, 板块: 0.0228, 原油: 0.0227, 欧洲: 0.0222, 投资: 0.0214, 避险: 0.0211, 股指: 0.0198, 投资者: 0.0189, 油价: 0.0158
64---疫情: 0.0866, 新冠: 0.0346, 自杀: 0.0309, 激增: 0.024, 枪支: 0.0235, 加州: 0.0234, 预防: 0.0233, 购买: 0.0228, 带来: 0.0203, 毕业生: 0.0188, 经济: 0.0164, 风险: 0.0163, 应对: 0.0148, 增加: 0.0128, 措施: 0.0126, 取消: 0.0116, 专家: 0.0114, 政府: 0.0114, 影响: 0.0114, 研究: 0.0114
51---伊朗: 0.1634, 油轮: 0.0526, 制裁: 0.0519, 革命: 0.0442, 卫队: 0.0435, 协议: 0.037, 伊斯兰: 0.032, 美国: 0.0304, 禁运: 0.0302, 扣押: 0.0245, 俄罗斯: 0.0242, 提供: 0.0235, 军事: 0.0213, 合作: 0.0206, 英国: 0.0162, 船只: 0.0161, 政府: 0.0148, 终止: 0.0143, 实施: 0.0142, 支持: 0.0137
23---平均水平: 0.0433, 医学院: 0.0402, 年龄: 0.0354, 确诊: 0.0309, 预期: 0.0307, 疫情: 0.0287, 病例: 0.0286, 指标: 0.027, 联邦: 0.0264, 事件: 0.0258, 新冠: 0.0246, 肺炎: 0.0232, 群体: 0.022, 措施: 0.0204, 预防: 0.0197, 人数: 0.0187, 大学: 0.0181, 工作组: 0.0174, 死亡: 0.0147, 做法: 0.0128
3---学生: 0.1429, 学校: 0.0831, 大学: 0.0667, 课程: 0.0506, 教育: 0.0454, 签证: 0.0427, 留学生: 0.0397, 授课: 0.0363, 网络: 0.0317, 国际: 0.0294, 执法局: 0.0293, 校园: 0.0264, 海关: 0.0263, 学费: 0.0243, 留在: 0.0214, 疫情: 0.0201, 美国: 0.0201, 机构: 0.019, 发布: 0.0138, 澳大利亚: 0.0136
50---检测: 0.1369, 样本: 0.1082, 实验室: 0.0517, 唾液: 0.0429, 青岛: 0.0408, 病毒: 0.0386, 试剂: 0.0357, 出新: 0.0356, 美国: 0.0334, 能力: 0.0311, 鼻腔: 0.029, 新冠: 0.0256, 核酸: 0.0211, 频道: 0.0193, 中国: 0.0182, 新闻: 0.018, 报道: 0.0174, 疫情: 0.0173, 测试: 0.0169, 阳性: 0.0165
18---混战: 0.0654, 大巴: 0.0591, 监督员: 0.057, 车辆: 0.0525, 激进: 0.0513, 得克萨斯州: 0.0446, 竞选: 0.0423, 爆发: 0.0374, 集会: 0.0373, 支持者: 0.0354, 游行: 0.0341, 包围: 0.0337, 皮卡车: 0.0333, 抗议者: 0.0294, 车队: 0.027, 民主党人: 0.0266, 现场: 0.0262, 计票: 0.0212, 华盛顿: 0.0208, 发生: 0.0168
62---累计: 0.0772, 俄罗斯: 0.0743, 新增: 0.0688, 巴西: 0.063, 印度: 0.059, 确诊: 0.0518, 统计数据: 0.0514, 德国: 0.0487, 数据: 0.0467, 小时: 0.046, 肺炎: 0.0459, 死亡: 0.0447, 时间: 0.0415, 病例: 0.0412, 新冠: 0.0315, 北京: 0.031, 美国: 0.0203, 单日: 0.019, 法国: 0.0179, 疫苗: 0.0161
40---枪击: 0.123, 受伤: 0.0903, 送往: 0.0706, 枪击案: 0.066, 医院: 0.05, 发生: 0.0426, 报道: 0.0327, 伤者: 0.0314, 受害者: 0.0305, 增加: 0.027, 时间: 0.026, 嫌疑人: 0.0239, 庆祝: 0.0236, 接受: 0.0211, 母亲: 0.0202, 中弹: 0.0191, 男孩: 0.0188, 警方: 0.0185, 纽约市: 0.0176, 事件: 0.0153
